caseName,sourcePayloadEbN0Db,attenuationDb,completeBlockage,blockageStartPolicy,targetFER,parameter,maximumToleratedParameter,lowerBound,upperBound,numberOfCrossings,firstCrossing,lastCrossing,method,status
BCH-S200,6.2999999999999998,0,1,FRAME_END,0.1,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-S200,6.2999999999999998,0,1,FRAME_END,0.01,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-S200,6.2999999999999998,0,1,FRAME_MIDDLE,0.5,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,6.2999999999999998,0,1,FRAME_MIDDLE,0.1,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-S200,6.2999999999999998,0,1,FRAME_MIDDLE,0.01,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-S200,6.2999999999999998,0,1,FRAME_START,0.5,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,6.2999999999999998,0,1,FRAME_START,0.1,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-S200,6.2999999999999998,0,1,FRAME_START,0.01,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-S200,6.2999999999999998,0,1,ONE_BEFORE_SEGMENT_BOUNDARY,0.5,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,6.2999999999999998,0,1,ONE_BEFORE_SEGMENT_BOUNDARY,0.1,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-S200,6.2999999999999998,0,1,ONE_BEFORE_SEGMENT_BOUNDARY,0.01,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-S200,6.2999999999999998,0,1,ON_SEGMENT_BOUNDARY,0.5,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,6.2999999999999998,0,1,ON_SEGMENT_BOUNDARY,0.1,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-S200,6.2999999999999998,0,1,ON_SEGMENT_BOUNDARY,0.01,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-S200,6.2999999999999998,0,1,SEGMENT_INTERIOR,0.5,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,6.2999999999999998,0,1,SEGMENT_INTERIOR,0.1,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-S200,6.2999999999999998,0,1,SEGMENT_INTERIOR,0.01,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-S200,6.2999999999999998,0,1,UNIFORM_RANDOM,0.5,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,6.2999999999999998,0,1,UNIFORM_RANDOM,0.1,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-S200,6.2999999999999998,0,1,UNIFORM_RANDOM,0.01,blockageLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-S200,8.5,-12,0,FRAME_END,0.5,blockageLength,,16.0,20.0,1,16.0..20.0,16.0..20.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,FRAME_END,0.1,blockageLength,,8.0,10.0,1,8.0..10.0,8.0..10.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,FRAME_END,0.01,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,FRAME_MIDDLE,0.5,blockageLength,,6.0,8.0,1,6.0..8.0,6.0..8.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,FRAME_MIDDLE,0.1,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,FRAME_MIDDLE,0.01,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,FRAME_START,0.5,blockageLength,,6.0,8.0,1,6.0..8.0,6.0..8.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,FRAME_START,0.1,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,FRAME_START,0.01,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.5,blockageLength,,8.0,10.0,1,8.0..10.0,8.0..10.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.1,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.01,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,ON_SEGMENT_BOUNDARY,0.5,blockageLength,,6.0,8.0,1,6.0..8.0,6.0..8.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,ON_SEGMENT_BOUNDARY,0.1,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,ON_SEGMENT_BOUNDARY,0.01,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,SEGMENT_INTERIOR,0.5,blockageLength,,6.0,8.0,1,6.0..8.0,6.0..8.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,SEGMENT_INTERIOR,0.1,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,SEGMENT_INTERIOR,0.01,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,UNIFORM_RANDOM,0.5,blockageLength,,8.0,10.0,1,8.0..10.0,8.0..10.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,UNIFORM_RANDOM,0.1,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-12,0,UNIFORM_RANDOM,0.01,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,FRAME_END,0.5,blockageLength,,14.0,15.0,1,14.0..15.0,14.0..15.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,FRAME_END,0.1,blockageLength,,6.0,8.0,1,6.0..8.0,6.0..8.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,FRAME_END,0.01,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,FRAME_MIDDLE,0.5,blockageLength,,4.0,6.0,1,4.0..6.0,4.0..6.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,FRAME_MIDDLE,0.1,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,FRAME_MIDDLE,0.01,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,FRAME_START,0.5,blockageLength,,4.0,6.0,1,4.0..6.0,4.0..6.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,FRAME_START,0.1,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,FRAME_START,0.01,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.5,blockageLength,,4.0,6.0,1,4.0..6.0,4.0..6.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.1,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.01,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,ON_SEGMENT_BOUNDARY,0.5,blockageLength,,4.0,6.0,1,4.0..6.0,4.0..6.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,ON_SEGMENT_BOUNDARY,0.1,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,ON_SEGMENT_BOUNDARY,0.01,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,SEGMENT_INTERIOR,0.5,blockageLength,,4.0,6.0,1,4.0..6.0,4.0..6.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,SEGMENT_INTERIOR,0.1,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,SEGMENT_INTERIOR,0.01,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,UNIFORM_RANDOM,0.5,blockageLength,,4.0,6.0,1,4.0..6.0,4.0..6.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,UNIFORM_RANDOM,0.1,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-20,0,UNIFORM_RANDOM,0.01,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,FRAME_END,0.5,blockageLength,,48.0,64.0,1,48.0..64.0,48.0..64.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,FRAME_END,0.1,blockageLength,,16.0,20.0,1,16.0..20.0,16.0..20.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,FRAME_END,0.01,blockageLength,,6.0,8.0,1,6.0..8.0,6.0..8.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,FRAME_MIDDLE,0.5,blockageLength,,48.0,64.0,1,48.0..64.0,48.0..64.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,FRAME_MIDDLE,0.1,blockageLength,,8.0,10.0,1,8.0..10.0,8.0..10.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,FRAME_MIDDLE,0.01,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,FRAME_START,0.5,blockageLength,,32.0,48.0,1,32.0..48.0,32.0..48.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,FRAME_START,0.1,blockageLength,,8.0,10.0,1,8.0..10.0,8.0..10.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,FRAME_START,0.01,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.5,blockageLength,48.0,48.0,48.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,EXACT_OBSERVED_POINT
BCH-S200,8.5,-6,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.1,blockageLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.01,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,ON_SEGMENT_BOUNDARY,0.5,blockageLength,,32.0,48.0,1,32.0..48.0,32.0..48.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,ON_SEGMENT_BOUNDARY,0.1,blockageLength,,8.0,10.0,1,8.0..10.0,8.0..10.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,ON_SEGMENT_BOUNDARY,0.01,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,SEGMENT_INTERIOR,0.5,blockageLength,,48.0,64.0,1,48.0..64.0,48.0..64.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,SEGMENT_INTERIOR,0.1,blockageLength,,12.0,14.0,1,12.0..14.0,12.0..14.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,SEGMENT_INTERIOR,0.01,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,UNIFORM_RANDOM,0.5,blockageLength,,48.0,64.0,1,48.0..64.0,48.0..64.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,UNIFORM_RANDOM,0.1,blockageLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,-6,0,UNIFORM_RANDOM,0.01,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,0,0,FRAME_END,0.5,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,FRAME_END,0.1,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,FRAME_END,0.01,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,FRAME_MIDDLE,0.5,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,FRAME_MIDDLE,0.1,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,FRAME_MIDDLE,0.01,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,FRAME_START,0.5,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,FRAME_START,0.1,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,FRAME_START,0.01,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.5,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.1,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.01,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,ON_SEGMENT_BOUNDARY,0.5,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,ON_SEGMENT_BOUNDARY,0.1,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,ON_SEGMENT_BOUNDARY,0.01,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,SEGMENT_INTERIOR,0.5,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,SEGMENT_INTERIOR,0.1,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,SEGMENT_INTERIOR,0.01,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,UNIFORM_RANDOM,0.5,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,UNIFORM_RANDOM,0.1,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,0,UNIFORM_RANDOM,0.01,blockageLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-S200,8.5,0,1,FRAME_END,0.5,blockageLength,,12.0,14.0,1,12.0..14.0,12.0..14.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,0,1,FRAME_END,0.1,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,0,1,FRAME_END,0.01,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,0,1,FRAME_MIDDLE,0.5,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,0,1,FRAME_MIDDLE,0.1,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,0,1,FRAME_MIDDLE,0.01,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,0,1,FRAME_START,0.5,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,0,1,FRAME_START,0.1,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,0,1,FRAME_START,0.01,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,0,1,ONE_BEFORE_SEGMENT_BOUNDARY,0.5,blockageLength,,4.0,6.0,1,4.0..6.0,4.0..6.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,0,1,ONE_BEFORE_SEGMENT_BOUNDARY,0.1,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,0,1,ONE_BEFORE_SEGMENT_BOUNDARY,0.01,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,0,1,ON_SEGMENT_BOUNDARY,0.5,blockageLength,,2.0,4.0,1,2.0..4.0,2.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,0,1,ON_SEGMENT_BOUNDARY,0.1,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-S200,8.5,0,1,ON_SEGMENT_BOUNDARY,0.01,blockageLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
